League name,Team name,Member name,Member email
Birmingham Municipal,Flintstones,Fred Flintstone,fred@bedrock.net
Birmingham Municipal,Flintstones,Barney Rubble,barney@bedrock.net
Birmingham Municipal,Flintstones,Betty Rubble,betty@bedrock.net
Birmingham Municipal,Flintstones,Wilma Flintstone,wilma@bedrock.net
Senior League,Curl Jam,"Vedder, Eddie",eddie@jam.com
Senior League,Curl Jam,"Cameron, Matt",matt@jam.com
Senior League,Curl Jam,"Gossard, Stone",stone@jam.com
Senior League,Curl Jam,"McCready, Mike",mike@jam.com
Senior League,Curl Jam,"Ament, Jeff",jeff@jam.com
Hunstville Region A,Curl Power,Buttercup,buttercup@powderpuff.net
Hunstville Region A,Curl Power,Bubbles,bubbles@powerderpuff.net
Hunstville Region A,Curl Power,Blossom,blossom@powderpuff.net
Hunstville Region A,Curl Power,Mojo Jojo,mojo@powderpuff.net
Hunstville Region B,Cold Fingers,佐藤 ひな,hina@bag.net
Hunstville Region B,Cold Fingers,成神 陽太,yota@bag.net
Hunstville Region B,Cold Fingers,伊座並 杏子,kyoko@bag.net
Hunstville Region B,Cold Fingers,国宝 阿修羅,ashura@bag.net
Hunstville Region B,Cold Fingers,成神 空,sora@bag.net
